Organisation Name,Purchase Order Number,Order Date,Total Value,Supplier Name,Account Name,Service
Rochdale Borough Council,s1025608,14/01/2020,"£9,250.00",PENNINE CARE NHS,RENTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025609,14/01/2020,"£9,250.00",PENNINE CARE NHS,RENTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1019271,14/01/2020,"£17,333.00",LINK4LIFE CHARITY,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002987,13/01/2020,"£6,895.00",HCL SAFETY LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002988,13/01/2020,"£9,800.00",CURTINS CONSULTING,PROPERTY FEES ELEMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3002991,13/01/2020,"£6,895.00",HCL SAFETY LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002992,13/01/2020,"£12,794.00",KINETIC SYSTEMS SUPPORT UK LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002993,13/01/2020,"£15,514.00",KINETIC SYSTEMS SUPPORT UK LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002994,13/01/2020,"£18,521.00",KINETIC SYSTEMS SUPPORT UK LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1008625,13/01/2020,"£10,705.58",CIVICA UK LIMITED,SOFTWARE,RESOURCES
Rochdale Borough Council,ph104098,13/01/2020,"£416,723.00",SALFORD ROYAL NHS FOUNDATION TRUST,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,r1002404,13/01/2020,"£8,858.00",GENR8 ROCHDALE LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,w1002037,13/01/2020,"£58,391.83",ROSS CARE,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1025600,10/01/2020,"£6,000.00",REDACTED - PERSONAL DATA,EXPENSES - GENERAL,COMMISSIONING AND STATUTORY
Rochdale Borough Council,s1025603,10/01/2020,"£12,000.00",REDACTED - PERSONAL DATA,EXPENSES - GENERAL,COMMISSIONING AND STATUTORY
Rochdale Borough Council,d1085614,10/01/2020,"£31,242.00",STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,CONTROL ACCOUNT
Rochdale Borough Council,d1085617,10/01/2020,"£15,000.00",247 HOTEL,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085618,10/01/2020,"£6,000.00",DICK WHITTINGTON GUEST HOUSE,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph104085,10/01/2020,"£6,548.00",MANCHESTER UNIVERSITY NHS FOUNDATION TRUST MFT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph104086,10/01/2020,"£5,666.00",MANCHESTER UNIVERSITY NHS FOUNDATION TRUST MFT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph104087,10/01/2020,"£7,460.00",MANCHESTER UNIVERSITY NHS FOUNDATION TRUST MFT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph104088,10/01/2020,"£5,288.00",MANCHESTER UNIVERSITY NHS FOUNDATION TRUST MFT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph104089,10/01/2020,"£7,271.00",MANCHESTER UNIVERSITY NHS FOUNDATION TRUST MFT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph104090,10/01/2020,"£7,380.00",MANCHESTER UNIVERSITY NHS FOUNDATION TRUST MFT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph104091,10/01/2020,"£6,603.00",MANCHESTER UNIVERSITY NHS FOUNDATION TRUST MFT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1025601,10/01/2020,"£12,000.00",MERCY GLOBAL CONSULT LTD,EXPENSES - GENERAL,COMMISSIONING AND STATUTORY
Rochdale Borough Council,s1025602,10/01/2020,"£12,000.00",S MUSTAFA LIMITED,EXPENSES - GENERAL,COMMISSIONING AND STATUTORY
Rochdale Borough Council,s1025607,10/01/2020,"£6,195.53",UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1085604,09/01/2020,"£375,637.00",CICELEY COMMERCIALS LIMITED,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085610,09/01/2020,"£5,341.00",HEDGES DIRECT,"TREES, SHRUBS, PLANTS",NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002078,09/01/2020,"£153,359.11",CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002972,09/01/2020,"£10,000.00",UNITY PARTNERSHIP LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002973,09/01/2020,"£10,000.00",UNITY PARTNERSHIP LTD,REPAIRS & ALTS OF BUILDINGS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3002974,09/01/2020,"£49,391.00",H BELL AND SONS ROCHDALE LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3002976,09/01/2020,"£9,000.00",G2 RECRUITMENT SOLUTIONS LTD,AGENCY STAFF,ECONOMY DIRECTORATE
Rochdale Borough Council,d3002978,09/01/2020,"£10,278.00",WSP LTD UK,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1029452,09/01/2020,"£37,737.00",AXIOM EDUCATION ROCHDALE LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph104083,09/01/2020,"£27,048.00",GREATER MANCHESTER MENTAL HEALTH NHS,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,r1002395,09/01/2020,"£8,450.00",WSP LTD UK,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002396,09/01/2020,"£8,450.00",WSP LTD UK,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,w1002035,09/01/2020,"£23,480.00",CHERISH UK LTD,CONTRACTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1019246,09/01/2020,"£5,000.00",RANDSTAD EDUCATION,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1085590,08/01/2020,"£5,400.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002959,08/01/2020,"£10,608.60",ATKINS LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,r1002392,08/01/2020,"£47,500.00",NATIONAL FLOOD FORUM,ACTIVITIES,ECONOMY DIRECTORATE
Rochdale Borough Council,s1025583,08/01/2020,"£5,595.11",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025584,08/01/2020,"£11,532.20",POLLOCK LIFTS,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025585,08/01/2020,"£6,217.02",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d3002957,07/01/2020,"£30,000.00",AECOM LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,l1003573,07/01/2020,"£9,672.60",GTM ELECTRICAL SERVICES LIMITED,EQUIPMENT - GENERAL,RESOURCES
Rochdale Borough Council,ph104078,07/01/2020,"£6,519.00",KAPOOR CHEMISTS LTD,PH LCS PAYMENTS,PUBLIC HEALTH
Rochdale Borough Council,d1085528,06/01/2020,"£6,237.00",ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d1085531,06/01/2020,"£32,443.00",LOCAL GOVERNMENT ASSOCIATION,SUBSCRIPTIONS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002065,06/01/2020,"£67,909.00",MANCHESTER CITY COUNCIL,AGMA,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002946,06/01/2020,"£79,928.38",J C MILLS & SON LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1008609,06/01/2020,"£8,900.00",TRIAD FABRICATIONS LIMITED,EQUIPMENT - GENERAL,RESOURCES
Rochdale Borough Council,ph104055,06/01/2020,"£6,617.93",BRAHM FUNDCO 1 LTD,RENTS,PUBLIC HEALTH
Rochdale Borough Council,ph104056,06/01/2020,"£11,600.00",TURNING POINT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph104057,06/01/2020,"£9,091.00",TURNING POINT,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,ph104069,06/01/2020,"£20,000.00",LINK4LIFE CHARITY,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph104070,06/01/2020,"£94,062.55",VIRGIN CARE SERVICES LIMITED,VIRGIN CARE,PUBLIC HEALTH
Rochdale Borough Council,r1002379,06/01/2020,"£7,750.00",WSP LTD UK,SITE INVESTIGATION,ECONOMY DIRECTORATE
Rochdale Borough Council,s1025566,06/01/2020,"£88,077.05",IMOSPHERE LIMITED,IT MAINTENANCE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1019201,03/01/2020,"£15,000.00",GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,l1003570,02/01/2020,"£7,288.78",ROYAL MAIL GROUP LTD,POSTAGE,RESOURCES
Rochdale Borough Council,s1025560,02/01/2020,"£5,769.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
